Mode,Mode Type
BensCar,Driving
Biking,Biking
Biking stabilized,Biking
Controls,Controls
Muni Bus,Bus
Muni Train,Other Trains
Walking,Walking
Walking stabilized,Walking
Biking BayWheels,Biking
Waymo,Driving
Walking with others,Walking
RTD Train,Other Trains
Biking BayWheels,Biking
JohnsCar,Driving
RTD Train,Other Trains
Waymo,Driving
Chores,Misc. Active
Weights,Misc. Active
